byte: 12 | bit: 4 | key guess: 8b | Cor: 0.281250
byte: 12 | bit: 5 | key guess: f8 | Cor: 0.273720
byte: 12 | bit: 6 | key guess: 7d | Cor: 0.281387
byte: 12 | bit: 7 | key guess: d0 | Cor: 0.594040
byte: 13 | bit: 0 | key guess: 64 | Cor: 0.532879
byte: 13 | bit: 1 | key guess: 99 | Cor: 0.292301
byte: 13 | bit: 2 | key guess: 53 | Cor: 0.281801
byte: 13 | bit: 3 | key guess: 0b | Cor: 0.278166
byte: 13 | bit: 4 | key guess: 1a | Cor: 0.266145
byte: 13 | bit: 5 | key guess: 15 | Cor: 0.274859
byte: 13 | bit: 6 | key guess: 3b | Cor: 0.297932
byte: 13 | bit: 7 | key guess: 64 | Cor: 0.601728
byte: 14 | bit: 0 | key guess: e3 | Cor: 0.554840
byte: 14 | bit: 1 | key guess: 15 | Cor: 0.288646
byte: 14 | bit: 2 | key guess: d0 | Cor: 0.269309
byte: 14 | bit: 3 | key guess: 46 | Cor: 0.312653
byte: 14 | bit: 4 | key guess: 53 | Cor: 0.281284
byte: 14 | bit: 5 | key guess: e1 | Cor: 0.281828
byte: 14 | bit: 6 | key guess: a9 | Cor: 0.320793
byte: 14 | bit: 7 | key guess: e3 | Cor: 0.578407
byte: 15 | bit: 0 | key guess: 63 | Cor: 0.562569
byte: 15 | bit: 1 | key guess: 74 | Cor: 0.299176
byte: 15 | bit: 2 | key guess: 2a | Cor: 0.291646
byte: 15 | bit: 3 | key guess: 4c | Cor: 0.317221
byte: 15 | bit: 4 | key guess: b2 | Cor: 0.276798
byte: 15 | bit: 5 | key guess: 34 | Cor: 0.275881
byte: 15 | bit: 6 | key guess: 65 | Cor: 0.304697
byte: 15 | bit: 7 | key guess: 63 | Cor: 0.546942
