byte: 1 | bit: 7 | key guess: 00 | Cor: 0.321107 ==> correct key: 0.321107
byte: 1 | bit: 8 | key guess: 00 | Cor: 0.265755 ==> correct key: 0.265755
byte: 1 | bit: 9 | key guess: 00 | Cor: 0.328165 ==> correct key: 0.328165
byte: 1 | bit: 10 | key guess: 00 | Cor: 0.335948 ==> correct key: 0.335948
byte: 1 | bit: 11 | key guess: 00 | Cor: 0.336194 ==> correct key: 0.336194
byte: 1 | bit: 12 | key guess: 00 | Cor: 0.265917 ==> correct key: 0.265917
byte: 1 | bit: 13 | key guess: 00 | Cor: 0.259153 ==> correct key: 0.259153
byte: 1 | bit: 14 | key guess: 00 | Cor: 0.273513 ==> correct key: 0.273513
byte: 1 | bit: 15 | key guess: 00 | Cor: 0.234490 ==> correct key: 0.234490
byte: 1 | bit: 16 | key guess: 00 | Cor: 0.296875 ==> correct key: 0.296875
byte: 1 | bit: 17 | key guess: 00 | Cor: 0.282112 ==> correct key: 0.282112
byte: 1 | bit: 18 | key guess: ff | Cor: 0.291176 ==> correct key: 0.235841
byte: 1 | bit: 19 | key guess: 23 | Cor: 0.328768 ==> correct key: 0.285050
byte: 1 | bit: 20 | key guess: 4d | Cor: 0.338156 ==> correct key: 0.226465
byte: 1 | bit: 21 | key guess: 2e | Cor: 0.300478 ==> correct key: 0.300478
byte: 1 | bit: 22 | key guess: c6 | Cor: 0.313264 ==> correct key: 0.276611
byte: 1 | bit: 23 | key guess: cd | Cor: 0.312172 ==> correct key: 0.252570
byte: 1 | bit: 24 | key guess: 9d | Cor: 0.291043 ==> correct key: 0.283192
byte: 1 | bit: 25 | key guess: 37 | Cor: 0.313264 ==> correct key: 0.270057
byte: 1 | bit: 26 | key guess: 2e | Cor: 0.429179 ==> correct key: 0.429179
byte: 1 | bit: 27 | key guess: 28 | Cor: 0.320460 ==> correct key: 0.232991
byte: 1 | bit: 28 | key guess: e0 | Cor: 0.301628 ==> correct key: 0.277333
byte: 1 | bit: 29 | key guess: 00 | Cor: 0.375000 ==> correct key: 0.375000
byte: 1 | bit: 30 | key guess: 2e | Cor: 0.309165 ==> correct key: 0.309165
byte: 1 | bit: 31 | key guess: 00 | Cor: 0.226736 ==> correct key: 0.226736
byte: 1 | bit: 32 | key guess: de | Cor: 0.317647 ==> correct key: 0.283897
byte: 1 | bit: 33 | key guess: 00 | Cor: 0.260117 ==> correct key: 0.260117
byte: 1 | bit: 34 | key guess: a4 | Cor: 0.302834 ==> correct key: 0.234834
byte: 1 | bit: 35 | key guess: 00 | Cor: 0.321107 ==> correct key: 0.321107
byte: 1 | bit: 36 | key guess: 0a | Cor: 0.307966 ==> correct key: 0.243159
byte: 1 | bit: 37 | key guess: 00 | Cor: 0.328165 ==> correct key: 0.328165
byte: 1 | bit: 38 | key guess: 2e | Cor: 0.429179 ==> correct key: 0.429179
byte: 1 | bit: 39 | key guess: 00 | Cor: 0.336194 ==> correct key: 0.336194
byte: 1 | bit: 40 | key guess: 70 | Cor: 0.310385 ==> correct key: 0.273492
byte: 1 | bit: 41 | key guess: 00 | Cor: 0.259153 ==> correct key: 0.259153
byte: 1 | bit: 42 | key guess: 6d | Cor: 0.306836 ==> correct key: 0.243159
byte: 1 | bit: 43 | key guess: 00 | Cor: 0.234490 ==> correct key: 0.234490
byte: 1 | bit: 44 | key guess: 12 | Cor: 0.330719 ==> correct key: 0.267156
byte: 1 | bit: 45 | key guess: 00 | Cor: 0.282112 ==> correct key: 0.282112
byte: 1 | bit: 46 | key guess: e0 | Cor: 0.301628 ==> correct key: 0.277333
byte: 1 | bit: 47 | key guess: 00 | Cor: 0.328165 ==> correct key: 0.328165
byte: 1 | bit: 48 | key guess: 2e | Cor: 0.309165 ==> correct key: 0.309165
byte: 1 | bit: 49 | key guess: 00 | Cor: 0.258009 ==> correct key: 0.258009
byte: 1 | bit: 50 | key guess: de | Cor: 0.317647 ==> correct key: 0.283897
byte: 1 | bit: 51 | key guess: 00 | Cor: 0.329131 ==> correct key: 0.329131
byte: 1 | bit: 52 | key guess: a4 | Cor: 0.302834 ==> correct key: 0.234834
byte: 1 | bit: 53 | key guess: 00 | Cor: 0.337684 ==> correct key: 0.337684
byte: 1 | bit: 54 | key guess: 0a | Cor: 0.307966 ==> correct key: 0.243159
byte: 1 | bit: 55 | key guess: 00 | Cor: 0.265755 ==> correct key: 0.265755
byte: 1 | bit: 56 | key guess: 2e | Cor: 0.429179 ==> correct key: 0.429179
byte: 1 | bit: 57 | key guess: 00 | Cor: 0.335948 ==> correct key: 0.335948
byte: 1 | bit: 58 | key guess: 70 | Cor: 0.310385 ==> correct key: 0.273492
byte: 1 | bit: 59 | key guess: 00 | Cor: 0.265917 ==> correct key: 0.265917
byte: 1 | bit: 60 | key guess: 6d | Cor: 0.306836 ==> correct key: 0.243159
byte: 1 | bit: 61 | key guess: 00 | Cor: 0.273513 ==> correct key: 0.273513
byte: 1 | bit: 62 | key guess: 12 | Cor: 0.330719 ==> correct key: 0.267156
byte: 1 | bit: 63 | key guess: 00 | Cor: 0.296875 ==> correct key: 0.296875
correct: 6/64

byte: 2 | bit: 0 | key guess: 00 | Cor: 0.273446 ==> correct key: 0.273446
byte: 2 | bit: 1 | key guess: 00 | Cor: 0.242254 ==> correct key: 0.242254
byte: 2 | bit: 2 | key guess: 00 | Cor: 0.260117 ==> correct key: 0.260117
byte: 2 | bit: 3 | key guess: 00 | Cor: 0.320401 ==> correct key: 0.320401
byte: 2 | bit: 4 | key guess: 00 | Cor: 0.258770 ==> correct key: 0.258770
