byte: 12 | bit: 4 | key guess: ea | Cor: 0.313458
byte: 12 | bit: 5 | key guess: 4e | Cor: 0.297457
byte: 12 | bit: 6 | key guess: bb | Cor: 0.297020
byte: 12 | bit: 7 | key guess: 6f | Cor: 0.304920
byte: 13 | bit: 0 | key guess: 49 | Cor: 0.290565
byte: 13 | bit: 1 | key guess: 91 | Cor: 0.301953
byte: 13 | bit: 2 | key guess: 05 | Cor: 0.328165
byte: 13 | bit: 3 | key guess: a6 | Cor: 0.354705
byte: 13 | bit: 4 | key guess: c8 | Cor: 0.306801
byte: 13 | bit: 5 | key guess: 95 | Cor: 0.312500
byte: 13 | bit: 6 | key guess: c5 | Cor: 0.321502
byte: 13 | bit: 7 | key guess: 64 | Cor: 0.320557
byte: 14 | bit: 0 | key guess: 02 | Cor: 0.328165
byte: 14 | bit: 1 | key guess: 79 | Cor: 0.304920
byte: 14 | bit: 2 | key guess: d0 | Cor: 0.344128
byte: 14 | bit: 3 | key guess: ed | Cor: 0.298188
byte: 14 | bit: 4 | key guess: 02 | Cor: 0.304920
byte: 14 | bit: 5 | key guess: d4 | Cor: 0.320322
byte: 14 | bit: 6 | key guess: 8c | Cor: 0.305819
byte: 14 | bit: 7 | key guess: e3 | Cor: 0.399426
byte: 15 | bit: 0 | key guess: 60 | Cor: 0.304697
byte: 15 | bit: 1 | key guess: df | Cor: 0.305819
byte: 15 | bit: 2 | key guess: 82 | Cor: 0.305443
byte: 15 | bit: 3 | key guess: ed | Cor: 0.297785
byte: 15 | bit: 4 | key guess: d7 | Cor: 0.299855
byte: 15 | bit: 5 | key guess: d5 | Cor: 0.304243
byte: 15 | bit: 6 | key guess: 31 | Cor: 0.297202
byte: 15 | bit: 7 | key guess: 63 | Cor: 0.344423
