byte: 12 | bit: 4 | key guess: 7d | Cor: 0.305381
byte: 12 | bit: 5 | key guess: 18 | Cor: 0.298188
byte: 12 | bit: 6 | key guess: ec | Cor: 0.320557
byte: 12 | bit: 7 | key guess: 3e | Cor: 0.293033
byte: 13 | bit: 0 | key guess: 05 | Cor: 0.351659
byte: 13 | bit: 1 | key guess: 8b | Cor: 0.314386
byte: 13 | bit: 2 | key guess: 9b | Cor: 0.291646
byte: 13 | bit: 3 | key guess: b9 | Cor: 0.313112
byte: 13 | bit: 4 | key guess: d9 | Cor: 0.304771
byte: 13 | bit: 5 | key guess: 43 | Cor: 0.320256
byte: 13 | bit: 6 | key guess: 52 | Cor: 0.290136
byte: 13 | bit: 7 | key guess: 5c | Cor: 0.316386
byte: 14 | bit: 0 | key guess: 53 | Cor: 0.283473
byte: 14 | bit: 1 | key guess: a9 | Cor: 0.298188
byte: 14 | bit: 2 | key guess: 0d | Cor: 0.336194
byte: 14 | bit: 3 | key guess: ee | Cor: 0.328125
byte: 14 | bit: 4 | key guess: 12 | Cor: 0.305443
byte: 14 | bit: 5 | key guess: 4e | Cor: 0.313112
byte: 14 | bit: 6 | key guess: 7a | Cor: 0.349247
byte: 14 | bit: 7 | key guess: 32 | Cor: 0.320793
byte: 15 | bit: 0 | key guess: cd | Cor: 0.311701
byte: 15 | bit: 1 | key guess: 40 | Cor: 0.291646
byte: 15 | bit: 2 | key guess: 71 | Cor: 0.314970
byte: 15 | bit: 3 | key guess: 1d | Cor: 0.298188
byte: 15 | bit: 4 | key guess: 0b | Cor: 0.308873
byte: 15 | bit: 5 | key guess: 10 | Cor: 0.312538
byte: 15 | bit: 6 | key guess: 15 | Cor: 0.337684
byte: 15 | bit: 7 | key guess: ae | Cor: 0.305443
